method,domain,condition,repeat,round,action,budget,health,won,premium,total_contribution,group_welfare,payoff,partner_level,stock,group_total
full_history,auction,world_transient,0,8,50.0,570.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,9,50.0,560.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,10,50.0,550.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,11,50.0,540.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,12,50.0,530.0,10.0,True,0.0,,,,,,
full_history,fishery,world_transient,0,1,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,2,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,3,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,4,10.0,,,,,,,10.0,,90.0,50.0
full_history,fishery,world_transient,0,5,8.0,,,,,,,8.0,,100.0,40.0
full_history,fishery,world_transient,0,6,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,7,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,8,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,9,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,10,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,11,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,world_transient,0,12,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,public_goods,control,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,4,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,5,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,6,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,control,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,fishery,control,0,1,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,2,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,3,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,4,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,5,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,6,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,7,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,8,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,9,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,10,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,11,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,control,0,12,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,auction,control,0,1,50.0,590.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,2,50.0,580.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,3,50.0,570.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,4,50.0,560.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,5,50.0,550.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,6,50.0,540.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,7,50.0,530.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,8,50.0,520.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,9,50.0,510.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,10,50.0,500.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,11,50.0,490.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,control,0,12,50.0,480.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,1,50.0,590.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,2,53.0,577.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,3,51.0,566.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,4,54.0,552.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,5,52.0,540.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,6,52.0,528.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,7,52.0,516.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,8,52.0,504.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,9,52.0,492.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,10,52.0,480.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,11,52.0,468.0,10.0,True,0.0,,,,,,
reflection,auction,other_transient,0,12,52.0,456.0,10.0,True,0.0,,,,,,
hscm_external_controller,fishery,other_transient,0,1,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,other_transient,0,2,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,other_transient,0,3,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,other_transient,0,4,10.0,,,,,,,10.0,,90.0,60.0
hscm_external_controller,fishery,other_transient,0,5,8.0,,,,,,,8.0,,100.0,40.0
hscm_external_controller,fishery,other_transient,0,6,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,other_transient,0,7,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,other_transient,0,8,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,other_transient,0,9,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,other_transient,0,10,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,other_transient,0,11,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,other_transient,0,12,8.0,,,,,,,8.0,,100.0,48.0
reflection,fishery,other_transient,0,1,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,2,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,3,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,4,10.0,,,,,,,10.0,,90.0,60.0
reflection,fishery,other_transient,0,5,8.0,,,,,,,8.0,,100.0,40.0
reflection,fishery,other_transient,0,6,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,7,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,8,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,9,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,10,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,11,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,other_transient,0,12,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,world_transient,0,1,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,world_transient,0,2,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,world_transient,0,3,10.0,,,,,,,10.0,,100.0,50.0
hscm_external_controller,fishery,world_transient,0,4,10.0,,,,,,,10.0,,90.0,50.0
hscm_external_controller,fishery,world_transient,0,5,8.0,,,,,,,8.0,,100.0,40.0
hscm_external_controller,fishery,world_transient,0,6,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,world_transient,0,7,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,world_transient,0,8,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,world_transient,0,9,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,world_transient,0,10,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,world_transient,0,11,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,fishery,world_transient,0,12,8.0,,,,,,,8.0,,100.0,48.0
hscm_external_controller,public_goods,other_transient,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,4,10.0,,,,,40.0,140.0,26.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,5,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,6,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,other_transient,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,fishery,control,0,1,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,2,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,3,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,4,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,5,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,6,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,7,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,8,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,9,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,10,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,11,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,control,0,12,10.0,,,,,,,10.0,,100.0,50.0
full_history,auction,control,0,1,50.0,590.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,2,50.0,580.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,3,50.0,570.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,4,50.0,560.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,5,50.0,550.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,6,50.0,540.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,7,50.0,530.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,8,50.0,520.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,9,50.0,510.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,10,50.0,500.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,11,50.0,490.0,10.0,True,0.0,,,,,,
full_history,auction,control,0,12,50.0,480.0,10.0,True,0.0,,,,,,
reflection,public_goods,control,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,4,12.0,,,,,52.0,152.0,28.8,10.0,,
reflection,public_goods,control,0,5,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,6,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,control,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,4,10.0,,,,,50.0,87.5,17.5,10.0,,
reflection,public_goods,world_transient,0,5,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,6,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,world_transient,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,4,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,5,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,6,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,control,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,auction,world_transient,0,1,50.0,590.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,2,50.0,580.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,3,50.0,570.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,4,50.0,610.0,9.0,False,0.0,,,,,,
reflection,auction,world_transient,0,5,50.0,600.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,6,49.0,591.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,7,50.0,581.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,8,49.0,572.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,9,53.0,559.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,10,54.0,545.0,10.0,True,0.0,,,,,,
reflection,auction,world_transient,0,11,0.0,585.0,9.0,False,0.0,,,,,,
reflection,auction,world_transient,0,12,0.0,625.0,8.0,False,0.0,,,,,,
full_history,public_goods,other_transient,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,4,10.0,,,,,40.0,140.0,26.0,10.0,,
full_history,public_goods,other_transient,0,5,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,6,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,other_transient,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,auction,world_transient,0,1,50.0,590.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,2,50.0,580.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,3,50.0,570.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,4,50.0,610.0,9.0,False,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,5,50.0,600.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,6,50.0,590.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,7,50.0,580.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,8,50.0,570.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,9,50.0,560.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,10,50.0,550.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,11,50.0,540.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,world_transient,0,12,50.0,530.0,10.0,True,0.0,,,,,,
hscm_external_controller,public_goods,world_transient,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,4,10.0,,,,,50.0,87.5,17.5,10.0,,
hscm_external_controller,public_goods,world_transient,0,5,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,6,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
hscm_external_controller,public_goods,world_transient,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,fishery,other_transient,0,1,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,2,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,3,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,4,10.0,,,,,,,10.0,,90.0,60.0
full_history,fishery,other_transient,0,5,8.0,,,,,,,8.0,,100.0,40.0
full_history,fishery,other_transient,0,6,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,7,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,8,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,9,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,10,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,11,10.0,,,,,,,10.0,,100.0,50.0
full_history,fishery,other_transient,0,12,10.0,,,,,,,10.0,,100.0,50.0
reflection,auction,control,0,1,50.0,590.0,10.0,True,0.0,,,,,,
reflection,auction,control,0,2,51.0,579.0,10.0,True,0.0,,,,,,
reflection,auction,control,0,3,53.0,566.0,10.0,True,0.0,,,,,,
reflection,auction,control,0,4,55.0,551.0,10.0,True,1.0,,,,,,
reflection,auction,control,0,5,1.0,591.0,9.0,False,0.0,,,,,,
reflection,auction,control,0,6,1.0,631.0,8.0,False,0.0,,,,,,
reflection,auction,control,0,7,10.0,671.0,7.0,False,0.0,,,,,,
reflection,auction,control,0,8,50.0,661.0,9.0,True,0.0,,,,,,
reflection,auction,control,0,9,1.0,701.0,8.0,False,0.0,,,,,,
reflection,auction,control,0,10,1.0,741.0,7.0,False,0.0,,,,,,
reflection,auction,control,0,11,1.0,781.0,6.0,False,0.0,,,,,,
reflection,auction,control,0,12,49.0,772.0,8.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,1,50.0,590.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,2,50.0,580.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,3,50.0,570.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,4,50.0,610.0,9.0,False,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,5,50.0,600.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,6,50.0,590.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,7,50.0,580.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,8,50.0,570.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,9,50.0,560.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,10,50.0,550.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,11,50.0,540.0,10.0,True,0.0,,,,,,
hscm_external_controller,auction,other_transient,0,12,50.0,530.0,10.0,True,0.0,,,,,,
reflection,public_goods,other_transient,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,other_transient,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,other_transient,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,other_transient,0,4,10.0,,,,,40.0,140.0,26.0,10.0,,
reflection,public_goods,other_transient,0,5,8.0,,,,,48.0,148.0,31.200000000000003,10.0,,
reflection,public_goods,other_transient,0,6,10.0,,,,,42.0,142.0,26.8,8.0,,
reflection,public_goods,other_transient,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,other_transient,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,other_transient,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,other_transient,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,other_transient,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,public_goods,other_transient,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
reflection,fishery,control,0,1,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,2,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,3,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,4,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,5,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,6,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,7,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,8,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,9,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,10,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,11,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,control,0,12,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,1,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,2,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,3,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,4,10.0,,,,,,,10.0,,90.0,50.0
reflection,fishery,world_transient,0,5,8.0,,,,,,,8.0,,100.0,40.0
reflection,fishery,world_transient,0,6,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,7,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,8,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,9,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,10,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,11,10.0,,,,,,,10.0,,100.0,50.0
reflection,fishery,world_transient,0,12,10.0,,,,,,,10.0,,100.0,50.0
