method,domain,condition,repeat,delta_overgeneralization,delta_action_deviation,outcome_metric,outcome_harm,outcome_harm_fraction
reflection,auction,world_transient,4,-0.4,-6.3333333333333375,oracle_post_recovery_wasted_bid,-18.0,-0.03214285714285714
reflection,auction,other_transient,4,0.25,-1.6666666666666714,oracle_post_recovery_wasted_bid,-27.0,-0.048214285714285716
reflection,fishery,other_transient,0,0.0,0.0,oracle_private_yield_loss,0.0,0.0
reflection,fishery,world_transient,0,0.0,0.0,oracle_private_yield_loss,0.0,0.0
reflection,fishery,world_transient,1,0.0,0.0,oracle_private_yield_loss,0.0,0.0
reflection,fishery,other_transient,1,0.0,2.0,oracle_private_yield_loss,14.0,0.175
reflection,fishery,world_transient,2,0.0,0.0,oracle_private_yield_loss,0.0,0.0
reflection,fishery,other_transient,2,0.0,0.0,oracle_private_yield_loss,0.0,0.0
reflection,fishery,world_transient,3,0.0,0.0,oracle_private_yield_loss,0.0,0.0
reflection,fishery,other_transient,3,0.0,0.0,oracle_private_yield_loss,0.0,0.0
reflection,fishery,other_transient,4,0.775,0.6666666666666666,oracle_private_yield_loss,10.0,0.125
reflection,fishery,world_transient,4,0.0,0.0,oracle_private_yield_loss,0.0,0.0
reflection,public_goods,world_transient,0,-0.775,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
reflection,public_goods,other_transient,0,-0.775,0.0,oracle_post_recovery_group_welfare_loss,10.0,0.008333333333333333
reflection,public_goods,world_transient,1,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
reflection,public_goods,other_transient,1,0.0,0.6666666666666661,oracle_post_recovery_group_welfare_loss,0.0,0.0
reflection,public_goods,other_transient,2,0.0,0.0,oracle_post_recovery_group_welfare_loss,20.0,0.016666666666666666
reflection,public_goods,world_transient,2,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
reflection,public_goods,world_transient,3,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
reflection,public_goods,other_transient,3,0.0,0.3333333333333339,oracle_post_recovery_group_welfare_loss,0.0,0.0
reflection,public_goods,world_transient,4,-0.775,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
reflection,public_goods,other_transient,4,-0.775,0.0,oracle_post_recovery_group_welfare_loss,10.0,0.008333333333333333
