method,domain,condition,repeat,pre_action_mean,post_absolute_deviation,persistent_action_deviation,late_overgeneralization,late_primary_scope,late_group_generalization,persona_changed,late_scope_error,minimum_stock,final_stock,total_harvest,overharvest_rounds,overcautious_rounds,post_recovery_focal_harvest,post_recovery_stock_deficit,oracle_normalized_action_mae,oracle_extreme_action_rounds,oracle_private_yield_loss,oracle_resource_deficit,final_budget,final_health,survived,cumulative_bid_premium,overbid_rounds,post_recovery_bid_expenditure,post_recovery_health_loss,oracle_post_recovery_wasted_bid,oracle_post_recovery_missed_allocations,explicit_self_other_confusion,cumulative_group_welfare,final_partner_contribution,retaliation_rounds,cumulative_contribution,post_recovery_group_welfare,post_recovery_focal_payoff,oracle_post_recovery_group_welfare_loss
hscm_external_controller,public_goods,other_transient,3,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
reflection,auction,control,3,54.333333333333336,0.6666666666666643,0.6666666666666643,0.0,none,False,False,False,,,,,,,,0.041666666666666664,0.0,,,422.0,10.0,True,11.0,0.0,440.0,0.0,40.0,0.0,0.0,,,,,,,
hscm_external_controller,public_goods,other_transient,2,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
full_history,public_goods,world_transient,4,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,auction,control,3,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,public_goods,control,4,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,auction,other_transient,0,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,fishery,world_transient,1,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,auction,world_transient,1,50.0,5.0,5.0,0.0,none,False,False,False,,,,,,,,0.041666666666666664,0.0,,,490.0,10.0,True,8.0,0.0,440.0,0.0,40.0,0.0,0.0,,,,,,,
reflection,public_goods,world_transient,2,10.0,0.625,0.0,0.0,none,False,False,False,,,,,,,,0.03125,0.0,,,,,,,,,,,,,1742.5,10.0,0.0,605.0,1205.0,237.0,0.0
hscm_external_controller,public_goods,control,2,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,public_goods,control,1,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
hscm_external_controller,auction,world_transient,4,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,auction,world_transient,3,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,fishery,control,1,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,public_goods,other_transient,3,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
reflection,public_goods,world_transient,3,10.0,1.0,0.0,0.0,none,False,False,False,,,,,,,,0.05,0.0,,,,,,,,,,,,,1745.0,10.0,0.0,610.0,1208.0,235.2,0.0
full_history,auction,control,4,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,auction,world_transient,4,51.333333333333336,3.1666666666666643,2.999999999999998,0.0,none,False,False,False,,,,,,,,0.0375,0.0,,,436.0,10.0,True,7.0,0.0,436.0,0.0,36.0,0.0,1.0,,,,,,,
reflection,auction,world_transient,1,52.0,1.375,2.0,0.65,world,False,False,True,,,,,,,,0.028125,0.0,,,444.0,10.0,True,1.0,0.0,427.0,0.0,27.0,0.0,0.0,,,,,,,
reflection,public_goods,control,4,10.0,0.75,0.0,0.775,world,True,False,True,,,,,,,,0.0375,0.0,,,,,,,,,,,,,1806.0,10.0,0.0,606.0,1206.0,236.4,0.0
full_history,public_goods,world_transient,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,fishery,other_transient,4,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,public_goods,world_transient,4,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
hscm_external_controller,public_goods,control,4,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
hscm_external_controller,fishery,other_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,auction,other_transient,1,50.0,2.75,2.3333333333333335,0.0,none,False,False,False,,,,,,,,0.022916666666666665,0.0,,,508.0,10.0,True,1.0,0.0,422.0,0.0,22.0,0.0,1.0,,,,,,,
hscm_external_controller,auction,other_transient,2,51.333333333333336,2.6666666666666643,2.6666666666666643,0.0,none,False,False,False,,,,,,,,0.03333333333333333,0.0,,,440.0,10.0,True,0.0,0.0,432.0,0.0,32.0,0.0,0.0,,,,,,,
hscm_external_controller,fishery,world_transient,1,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,fishery,other_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,auction,other_transient,4,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,fishery,control,4,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,public_goods,world_transient,1,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,auction,other_transient,3,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,fishery,world_transient,1,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,fishery,world_transient,4,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,fishery,other_transient,4,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,auction,world_transient,4,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,public_goods,other_transient,1,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
hscm_external_controller,public_goods,control,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,fishery,world_transient,2,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,auction,world_transient,0,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,auction,other_transient,2,52.333333333333336,0.6666666666666643,0.6666666666666643,0.0,none,False,False,False,,,,,,,,0.025,0.0,,,446.0,10.0,True,0.0,0.0,424.0,0.0,24.0,0.0,0.0,,,,,,,
reflection,public_goods,other_transient,1,10.666666666666666,0.6666666666666661,0.6666666666666661,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1792.0,10.0,0.0,592.0,1200.0,240.0,0.0
hscm_external_controller,fishery,world_transient,3,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,public_goods,world_transient,1,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
hscm_external_controller,fishery,control,0,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,auction,other_transient,3,54.666666666666664,11.583333333333336,14.000000000000002,0.4,other,False,False,True,,,,,,,,0.13541666666666666,0.0,,,326.0,10.0,True,110.0,1.0,530.0,0.0,130.0,0.0,1.0,,,,,,,
full_history,public_goods,control,3,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,fishery,world_transient,3,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,auction,control,3,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,fishery,world_transient,4,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,auction,control,1,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,public_goods,control,1,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
reflection,fishery,control,2,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,auction,other_transient,0,55.666666666666664,1.1666666666666643,1.333333333333331,0.0,none,False,False,False,,,,,,,,0.0375,0.0,,,422.0,10.0,True,12.0,0.0,436.0,0.0,36.0,0.0,0.0,,,,,,,
full_history,fishery,control,0,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,public_goods,control,3,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
hscm_external_controller,fishery,control,3,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,fishery,world_transient,4,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,public_goods,world_transient,0,10.0,0.625,0.0,0.0,none,False,False,False,,,,,,,,0.03125,0.0,,,,,,,,,,,,,1742.5,10.0,0.0,605.0,1205.0,237.0,0.0
reflection,fishery,control,0,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,auction,control,2,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,fishery,other_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,auction,world_transient,2,50.333333333333336,2.9166666666666643,2.6666666666666643,0.275,world,False,False,True,,,,,,,,0.027083333333333334,0.0,,,503.0,10.0,True,1.0,0.0,426.0,0.0,26.0,0.0,1.0,,,,,,,
hscm_external_controller,fishery,other_transient,2,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,auction,control,0,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,auction,world_transient,3,50.0,4.125,6.0,0.0,none,False,False,False,,,,,,,,0.034375,0.0,,,706.0,10.0,True,8.0,0.0,224.0,0.0,24.0,4.0,0.0,,,,,,,
full_history,public_goods,world_transient,1,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
hscm_external_controller,auction,other_transient,3,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,auction,control,2,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,fishery,control,2,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,public_goods,control,2,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
hscm_external_controller,fishery,other_transient,1,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,public_goods,control,1,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,public_goods,world_transient,3,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,public_goods,other_transient,1,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
full_history,fishery,other_transient,1,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,public_goods,other_transient,4,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
full_history,fishery,world_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,public_goods,other_transient,3,9.666666666666666,0.3333333333333339,0.3333333333333339,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1789.0,10.0,0.0,589.0,1200.0,240.0,0.0
hscm_external_controller,public_goods,other_transient,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
reflection,auction,world_transient,0,47.666666666666664,8.208333333333336,9.000000000000002,0.65,other,False,False,True,,,,,,,,0.04895833333333333,0.0,,,583.0,10.0,True,19.0,0.0,447.0,0.0,47.0,0.0,1.0,,,,,,,
hscm_external_controller,auction,control,1,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,auction,world_transient,1,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,auction,world_transient,0,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,fishery,control,1,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,auction,control,4,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,public_goods,other_transient,4,10.0,0.25,0.0,0.0,none,False,False,False,,,,,,,,0.0125,0.0,,,,,,,,,,,,,1780.0,10.0,0.0,580.0,1190.0,238.0,10.0
reflection,fishery,control,3,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,public_goods,other_transient,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
hscm_external_controller,public_goods,world_transient,2,10.0,0.0,0.0,0.125,world,False,False,True,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
hscm_external_controller,public_goods,world_transient,3,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
full_history,auction,world_transient,3,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,fishery,other_transient,1,10.0,2.0,2.0,0.0,none,False,False,False,90.0,100.0,586.0,0.0,0.0,64.0,0.0,0.0875,0.0,14.0,0.0,,,,,,,,,,,,,,,,,
full_history,public_goods,control,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
reflection,auction,control,1,50.0,1.0,1.0,0.0,none,False,False,False,,,,,,,,0.008333333333333333,0.0,,,489.0,10.0,True,0.0,0.0,392.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,auction,other_transient,1,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,fishery,control,4,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,auction,world_transient,2,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,public_goods,other_transient,2,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
reflection,public_goods,control,0,10.0,1.25,0.0,0.775,world,True,False,True,,,,,,,,0.0625,0.0,,,,,,,,,,,,,1815.0,10.0,0.0,615.0,1210.0,234.0,0.0
reflection,fishery,other_transient,3,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,auction,other_transient,4,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
hscm_external_controller,fishery,other_transient,3,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,fishery,control,4,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,auction,other_transient,2,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,fishery,other_transient,3,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,public_goods,other_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,,,,,,,,0.0125,0.0,,,,,,,,,,,,,1780.0,10.0,0.0,580.0,1190.0,238.0,10.0
hscm_external_controller,auction,other_transient,1,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
full_history,public_goods,world_transient,2,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
reflection,auction,control,2,53.666666666666664,0.3333333333333357,0.3333333333333357,0.0,none,False,False,False,,,,,,,,0.03333333333333333,0.0,,,433.0,10.0,True,3.0,0.0,432.0,0.0,32.0,0.0,0.0,,,,,,,
hscm_external_controller,auction,world_transient,2,50.0,0.0,0.0,0.175,world,False,False,True,,,,,,,,0.0,0.0,,,530.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,public_goods,control,3,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1802.0,10.0,0.0,602.0,1200.0,240.0,0.0
full_history,fishery,control,3,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,fishery,world_transient,2,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,public_goods,other_transient,4,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1790.0,10.0,0.0,590.0,1200.0,240.0,0.0
full_history,public_goods,control,2,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,,,,,,,,,,,1800.0,10.0,0.0,600.0,1200.0,240.0,0.0
reflection,auction,other_transient,4,48.333333333333336,5.041666666666664,7.666666666666664,0.65,world,False,False,True,,,,,,,,0.028125,0.0,,,554.0,10.0,True,6.0,0.0,427.0,0.0,27.0,0.0,1.0,,,,,,,
hscm_external_controller,fishery,world_transient,0,10.0,0.5,0.0,0.0,none,False,False,False,90.0,100.0,588.0,0.0,0.0,76.0,0.0,0.0125,0.0,2.0,0.0,,,,,,,,,,,,,,,,,
