method,domain,condition,repeat,round,action,stock,group_total,payoff,budget,health,won,premium,total_contribution,group_welfare,partner_level
reflection,fishery,world_transient,3,9,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,10,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,11,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,12,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,other_transient,4,1,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,other_transient,4,2,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,other_transient,4,3,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,other_transient,4,4,10.0,90.0,60.0,10.0,,,,,,,
reflection,fishery,other_transient,4,5,8.0,100.0,40.0,8.0,,,,,,,
reflection,fishery,other_transient,4,6,8.0,100.0,48.0,8.0,,,,,,,
reflection,fishery,other_transient,4,7,8.0,100.0,48.0,8.0,,,,,,,
reflection,fishery,other_transient,4,8,8.0,100.0,48.0,8.0,,,,,,,
reflection,fishery,other_transient,4,9,8.0,100.0,48.0,8.0,,,,,,,
reflection,fishery,other_transient,4,10,8.0,100.0,48.0,8.0,,,,,,,
reflection,fishery,other_transient,4,11,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,other_transient,4,12,10.0,100.0,50.0,10.0,,,,,,,
reflection,public_goods,other_transient,2,1,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,other_transient,2,2,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,other_transient,2,3,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,other_transient,2,4,10.0,,,26.0,,,,,40.0,140.0,10.0
reflection,public_goods,other_transient,2,5,8.0,,,31.200000000000003,,,,,48.0,148.0,10.0
reflection,public_goods,other_transient,2,6,10.0,,,26.8,,,,,42.0,142.0,8.0
reflection,public_goods,other_transient,2,7,8.0,,,31.200000000000003,,,,,48.0,148.0,10.0
reflection,public_goods,other_transient,2,8,10.0,,,26.8,,,,,42.0,142.0,8.0
reflection,public_goods,other_transient,2,9,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,other_transient,2,10,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,other_transient,2,11,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,other_transient,2,12,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,1,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,2,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,3,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,4,10.0,,,17.5,,,,,50.0,87.5,10.0
hscm_external_controller,public_goods,world_transient,4,5,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,6,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,7,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,8,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,9,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,10,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,11,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,world_transient,4,12,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,1,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,2,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,3,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,4,10.0,,,26.0,,,,,40.0,140.0,10.0
hscm_external_controller,public_goods,other_transient,3,5,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,6,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,7,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,8,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,9,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,10,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,11,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,3,12,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,auction,control,3,1,55.0,,,,585.0,10.0,True,1.0,,,
reflection,auction,control,3,2,53.0,,,,572.0,10.0,True,0.0,,,
reflection,auction,control,3,3,55.0,,,,557.0,10.0,True,1.0,,,
reflection,auction,control,3,4,55.0,,,,542.0,10.0,True,1.0,,,
reflection,auction,control,3,5,55.0,,,,527.0,10.0,True,1.0,,,
reflection,auction,control,3,6,55.0,,,,512.0,10.0,True,1.0,,,
reflection,auction,control,3,7,55.0,,,,497.0,10.0,True,1.0,,,
reflection,auction,control,3,8,55.0,,,,482.0,10.0,True,1.0,,,
reflection,auction,control,3,9,55.0,,,,467.0,10.0,True,1.0,,,
reflection,auction,control,3,10,55.0,,,,452.0,10.0,True,1.0,,,
reflection,auction,control,3,11,55.0,,,,437.0,10.0,True,1.0,,,
reflection,auction,control,3,12,55.0,,,,422.0,10.0,True,1.0,,,
hscm_external_controller,public_goods,other_transient,2,1,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,2,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,3,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,4,10.0,,,26.0,,,,,40.0,140.0,10.0
hscm_external_controller,public_goods,other_transient,2,5,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,6,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,7,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,8,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,9,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,10,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,11,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,other_transient,2,12,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,1,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,2,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,3,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,4,10.0,,,17.5,,,,,50.0,87.5,10.0
full_history,public_goods,world_transient,4,5,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,6,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,7,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,8,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,9,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,10,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,11,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,world_transient,4,12,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,auction,control,3,1,50.0,,,,590.0,10.0,True,0.0,,,
full_history,auction,control,3,2,50.0,,,,580.0,10.0,True,0.0,,,
full_history,auction,control,3,3,50.0,,,,570.0,10.0,True,0.0,,,
full_history,auction,control,3,4,50.0,,,,560.0,10.0,True,0.0,,,
full_history,auction,control,3,5,50.0,,,,550.0,10.0,True,0.0,,,
full_history,auction,control,3,6,50.0,,,,540.0,10.0,True,0.0,,,
full_history,auction,control,3,7,50.0,,,,530.0,10.0,True,0.0,,,
full_history,auction,control,3,8,50.0,,,,520.0,10.0,True,0.0,,,
full_history,auction,control,3,9,50.0,,,,510.0,10.0,True,0.0,,,
full_history,auction,control,3,10,50.0,,,,500.0,10.0,True,0.0,,,
full_history,auction,control,3,11,50.0,,,,490.0,10.0,True,0.0,,,
full_history,auction,control,3,12,50.0,,,,480.0,10.0,True,0.0,,,
full_history,public_goods,control,4,1,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,2,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,3,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,4,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,5,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,6,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,7,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,8,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,9,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,10,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,11,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,4,12,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,auction,other_transient,0,1,50.0,,,,590.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,2,50.0,,,,580.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,3,50.0,,,,570.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,4,50.0,,,,610.0,9.0,False,0.0,,,
full_history,auction,other_transient,0,5,50.0,,,,600.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,6,50.0,,,,590.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,7,50.0,,,,580.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,8,50.0,,,,570.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,9,50.0,,,,560.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,10,50.0,,,,550.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,11,50.0,,,,540.0,10.0,True,0.0,,,
full_history,auction,other_transient,0,12,50.0,,,,530.0,10.0,True,0.0,,,
reflection,fishery,world_transient,1,1,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,2,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,3,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,4,10.0,90.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,5,8.0,100.0,40.0,8.0,,,,,,,
reflection,fishery,world_transient,1,6,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,7,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,8,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,9,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,10,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,11,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,1,12,10.0,100.0,50.0,10.0,,,,,,,
full_history,auction,world_transient,1,1,50.0,,,,590.0,10.0,True,0.0,,,
full_history,auction,world_transient,1,2,50.0,,,,580.0,10.0,True,0.0,,,
full_history,auction,world_transient,1,3,50.0,,,,570.0,10.0,True,0.0,,,
full_history,auction,world_transient,1,4,50.0,,,,610.0,9.0,False,0.0,,,
full_history,auction,world_transient,1,5,55.0,,,,595.0,10.0,True,1.0,,,
full_history,auction,world_transient,1,6,55.0,,,,580.0,10.0,True,1.0,,,
full_history,auction,world_transient,1,7,55.0,,,,565.0,10.0,True,1.0,,,
full_history,auction,world_transient,1,8,55.0,,,,550.0,10.0,True,1.0,,,
full_history,auction,world_transient,1,9,55.0,,,,535.0,10.0,True,1.0,,,
full_history,auction,world_transient,1,10,55.0,,,,520.0,10.0,True,1.0,,,
full_history,auction,world_transient,1,11,55.0,,,,505.0,10.0,True,1.0,,,
full_history,auction,world_transient,1,12,55.0,,,,490.0,10.0,True,1.0,,,
reflection,public_goods,world_transient,2,1,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,2,2,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,2,3,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,2,4,10.0,,,17.5,,,,,50.0,87.5,10.0
reflection,public_goods,world_transient,2,5,11.0,,,29.400000000000002,,,,,51.0,151.0,10.0
reflection,public_goods,world_transient,2,6,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,2,7,12.0,,,28.8,,,,,52.0,152.0,10.0
reflection,public_goods,world_transient,2,8,12.0,,,28.8,,,,,52.0,152.0,10.0
reflection,public_goods,world_transient,2,9,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,2,10,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,2,11,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,2,12,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,1,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,2,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,3,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,4,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,5,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,6,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,7,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,8,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,9,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,10,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,11,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,public_goods,control,2,12,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,1,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,2,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,3,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,4,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,5,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,6,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,7,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,8,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,9,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,10,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,11,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,control,1,12,10.0,,,30.0,,,,,50.0,150.0,10.0
hscm_external_controller,auction,world_transient,4,1,50.0,,,,590.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,2,50.0,,,,580.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,3,50.0,,,,570.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,4,50.0,,,,610.0,9.0,False,0.0,,,
hscm_external_controller,auction,world_transient,4,5,50.0,,,,600.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,6,50.0,,,,590.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,7,50.0,,,,580.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,8,50.0,,,,570.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,9,50.0,,,,560.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,10,50.0,,,,550.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,11,50.0,,,,540.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,4,12,50.0,,,,530.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,1,50.0,,,,590.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,2,50.0,,,,580.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,3,50.0,,,,570.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,4,50.0,,,,610.0,9.0,False,0.0,,,
hscm_external_controller,auction,world_transient,3,5,50.0,,,,600.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,6,50.0,,,,590.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,7,50.0,,,,580.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,8,50.0,,,,570.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,9,50.0,,,,560.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,10,50.0,,,,550.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,11,50.0,,,,540.0,10.0,True,0.0,,,
hscm_external_controller,auction,world_transient,3,12,50.0,,,,530.0,10.0,True,0.0,,,
reflection,fishery,control,1,1,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,2,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,3,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,4,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,5,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,6,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,7,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,8,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,9,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,10,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,11,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,control,1,12,10.0,100.0,50.0,10.0,,,,,,,
full_history,public_goods,other_transient,3,1,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,2,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,3,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,4,10.0,,,26.0,,,,,40.0,140.0,10.0
full_history,public_goods,other_transient,3,5,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,6,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,7,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,8,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,9,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,10,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,11,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,public_goods,other_transient,3,12,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,1,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,2,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,3,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,4,12.0,,,15.8,,,,,52.0,87.0,10.0
reflection,public_goods,world_transient,3,5,14.0,,,27.6,,,,,54.0,154.0,10.0
reflection,public_goods,world_transient,3,6,14.0,,,27.6,,,,,54.0,154.0,10.0
reflection,public_goods,world_transient,3,7,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,8,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,9,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,10,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,11,10.0,,,30.0,,,,,50.0,150.0,10.0
reflection,public_goods,world_transient,3,12,10.0,,,30.0,,,,,50.0,150.0,10.0
full_history,auction,control,4,1,50.0,,,,590.0,10.0,True,0.0,,,
full_history,auction,control,4,2,50.0,,,,580.0,10.0,True,0.0,,,
full_history,auction,control,4,3,50.0,,,,570.0,10.0,True,0.0,,,
full_history,auction,control,4,4,50.0,,,,560.0,10.0,True,0.0,,,
full_history,auction,control,4,5,50.0,,,,550.0,10.0,True,0.0,,,
full_history,auction,control,4,6,50.0,,,,540.0,10.0,True,0.0,,,
full_history,auction,control,4,7,50.0,,,,530.0,10.0,True,0.0,,,
full_history,auction,control,4,8,50.0,,,,520.0,10.0,True,0.0,,,
